season,njcaa_division,team,team_id,location,opponent,result,score,game_id,G,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,South Georgia State,W,7-1,20230406_n9f3,19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,St. Johns River State,L,10-9,20230129_e9i6,19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,St. Johns River State,L,13-3,20230127_r5ba,19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,St. Johns River State,L,4-2,20230127_gky7,19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,St. Johns River State,L,8-6,20230129_jlul,19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Tallahassee,L,10-3,20230207_b7lm,19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Tallahassee,L,4-1,20230225_th7r,19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Tallahassee,L,6-3,20230304_e31r,19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Tallahassee,L,9-2,20230225_2xm8,19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Tallahassee,W,7-2,20230304_1q9m,19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Thomas University JV,W,11-0,20230315_ed3r,19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
2023,div1,Abraham Baldwin,abrahambaldwinagriculturalcollege,home,Thomas University JV,W,16-1,20230315_9o02,19,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0
