date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Apr 11,home,Southern Nevada,L,11-9,11,9,2.0,win,20140411_pgoc,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Apr 12,home,Southern Nevada,W,9-6,9,6,3.0,win,20140412_wf6w,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Apr 12,home,Southern Nevada,W,5-3,5,3,2.0,win,20140412_kky5,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Apr 18,home,Colorado Northwestern,W,9-2,9,2,7.0,win,20140418_pgsd,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Apr 18,home,Colorado Northwestern,W,12-4,12,4,8.0,win,20140418_bn1v,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Apr 19,home,Colorado Northwestern,W,7-4,7,4,3.0,win,20140419_ipi7,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Apr 19,home,Colorado Northwestern,L,6-4,6,4,2.0,win,20140419_jzym,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Apr 24,home,Southern Idaho,W,3-0,3,0,3.0,win,20140424_bccf,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Apr 24,home,Southern Idaho,L,9-4,9,4,5.0,win,20140424_8yau,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Apr 25,home,Southern Idaho,L,6-1,6,1,5.0,win,20140425_q91f,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
Apr 25,home,Southern Idaho,L,7-4,7,4,3.0,win,20140425_w1w1,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
May 8,home,Southern Idaho,W,2-1,2,1,1.0,win,20140508_0fln,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
May 9,home,Western Nevada,L,5-0,5,0,5.0,win,20140509_1ne4,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
May 10,home,Southern Nevada,W,5-4,5,4,1.0,win,20140510_entn,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
May 10,home,Western Nevada,L,8-4,8,4,4.0,win,20140510_qzxf,0,0,0,0,0.0,,,,0.00,,,,2014,2013-14,div1,Salt Lake,saltlakecommunitycollege,nickurbanjcka,Nick Urban
