date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Feb 28,home,Lackawanna,W,12-11,12,11,1.0,win,20210228_bc60,0,1,0,0,1.0,,,,0.00,1,2,2021,2020-21,div2,Guilford Tech,guilfordtechnicalcommunitycollege,davisdowneywpun,Davis Downey
Mar 6,home,Fayetteville Tech,W,10-5,10,5,5.0,win,,,,,,,,,,,,,2021,2020-21,div2,Guilford Tech,guilfordtechnicalcommunitycollege,davisdowneywpun,Davis Downey
Mar 6,home,Fayetteville Tech,W,3-2,3,2,1.0,win,,,,,,,,,,,,,2021,2020-21,div2,Guilford Tech,guilfordtechnicalcommunitycollege,davisdowneywpun,Davis Downey
Mar 7,home,Fayetteville Tech,W,14-10,14,10,4.0,win,20210307_hgax,0,0,0,0,0.1,,,,0.00,,1,2021,2020-21,div2,Guilford Tech,guilfordtechnicalcommunitycollege,davisdowneywpun,Davis Downey
Mar 13,home,Cleveland,W,11-9,11,9,2.0,win,,,,,,,,,,,,,2021,2020-21,div2,Guilford Tech,guilfordtechnicalcommunitycollege,davisdowneywpun,Davis Downey
Mar 13,home,Cleveland,W,6-5,6,5,1.0,win,,,,,,,,,,,,,2021,2020-21,div2,Guilford Tech,guilfordtechnicalcommunitycollege,davisdowneywpun,Davis Downey
Mar 14,home,Cleveland,L,11-5,11,5,6.0,win,20210314_dooa,0,0,0,0,1.1,1,1,,0.00,1,1,2021,2020-21,div2,Guilford Tech,guilfordtechnicalcommunitycollege,davisdowneywpun,Davis Downey
Mar 20,home,Catawba Valley,L,13-3,13,3,10.0,win,,,,,,,,,,,,,2021,2020-21,div2,Guilford Tech,guilfordtechnicalcommunitycollege,davisdowneywpun,Davis Downey
Mar 20,home,Catawba Valley,L,12-2,12,2,10.0,win,20210320_8uco,0,0,0,0,0.2,2,2,2,27.00,,,2021,2020-21,div2,Guilford Tech,guilfordtechnicalcommunitycollege,davisdowneywpun,Davis Downey
Mar 21,home,Catawba Valley,L,13-3,13,3,10.0,win,20210321_li0s,0,0,0,0,0.2,,,,0.00,1,1,2021,2020-21,div2,Guilford Tech,guilfordtechnicalcommunitycollege,davisdowneywpun,Davis Downey
Mar 27,home,Patrick & Henry,,,,,10.0,win,,,,,,,,,,,,,2021,2020-21,div2,Guilford Tech,guilfordtechnicalcommunitycollege,davisdowneywpun,Davis Downey
Mar 27,home,Patrick & Henry,,,,,10.0,win,,,,,,,,,,,,,2021,2020-21,div2,Guilford Tech,guilfordtechnicalcommunitycollege,davisdowneywpun,Davis Downey
Mar 28,home,Patrick & Henry,,,,,10.0,win,,,,,,,,,,,,,2021,2020-21,div2,Guilford Tech,guilfordtechnicalcommunitycollege,davisdowneywpun,Davis Downey
Mar 31,home,Caldwell Tech,,,,,10.0,win,,,,,,,,,,,,,2021,2020-21,div2,Guilford Tech,guilfordtechnicalcommunitycollege,davisdowneywpun,Davis Downey
Apr 2,home,Wake Tech,,,,,10.0,win,,,,,,,,,,,,,2021,2020-21,div2,Guilford Tech,guilfordtechnicalcommunitycollege,davisdowneywpun,Davis Downey
Apr 2,home,Wake Tech,,,,,10.0,win,,,,,,,,,,,,,2021,2020-21,div2,Guilford Tech,guilfordtechnicalcommunitycollege,davisdowneywpun,Davis Downey
Apr 3,home,Wake Tech,,,,,10.0,win,,,,,,,,,,,,,2021,2020-21,div2,Guilford Tech,guilfordtechnicalcommunitycollege,davisdowneywpun,Davis Downey
Apr 10,home,Fayetteville Tech,W,12-10,12,10,2.0,win,20210410_2q1s,0,0,0,0,1.0,2,2,2,18.00,2,1,2021,2020-21,div2,Guilford Tech,guilfordtechnicalcommunitycollege,davisdowneywpun,Davis Downey
Apr 10,home,Fayetteville Tech,W,12-5,12,5,7.0,win,,,,,,,,,,,,,2021,2020-21,div2,Guilford Tech,guilfordtechnicalcommunitycollege,davisdowneywpun,Davis Downey
Apr 11,home,Fayetteville Tech,L,8-7,8,7,1.0,win,,,,,,,,,,,,,2021,2020-21,div2,Guilford Tech,guilfordtechnicalcommunitycollege,davisdowneywpun,Davis Downey
