date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Apr 19,home,Western Nebraska,L,5-4,5,4,1.0,win,20190419_c5o7,1,0,0,0,4.2,6,3,2,3.86,2,3,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Apr 20,home,Western Nebraska,L,13-4,13,4,9.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Apr 24,home,Otero,W,16-5,16,5,11.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Apr 25,home,Lamar,L,13-8,13,8,5.0,win,20190425_8zip,1,0,0,0,4.1,7,5,5,10.38,2,6,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Apr 27,home,McCook,W,3-1,3,1,2.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Apr 27,home,McCook,W,5-3,5,3,2.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
Apr 28,home,McCook,W,10-0,10,0,10.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
May 2,home,Northeastern,W,7-3,7,3,4.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
May 2,home,Northeastern,L,12-2,12,2,10.0,win,20190502_gx16,1,0,0,0,1.0,2,2,1,9.00,0,1,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
May 3,home,Northeastern,L,5-2,5,2,3.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
May 9,home,TBA,,,,,3.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
May 10,home,Western Nebraska,L,3-2,3,2,1.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
May 11,home,Northeastern,W,3-1,3,1,2.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
May 11,home,Lamar,L,14-6,14,6,8.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
May 16,home,Southern Nevada,L,11-1,11,1,10.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
May 17,home,Lamar,W,16-15,16,15,1.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
May 17,home,Southern Nevada,L,15-2,15,2,13.0,win,,,,,,,,,,,,,2019,2018-19,div1,Trinidad State,trinidadstatejuniorcollege,sebastianolivohp8k,Sebastian Olivo
