date,location,opponent,result,score,team_score,opp_score,GS,W,L,SV,IP,H,R,ER,ERA,BB,K,HR,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name
Apr 30,home,Hagerstown,W,6-4,6,6,1,0,0,0,5.1,7,4,4,6.75,5,2,1,2013,2012-13,div1,Potomac State,potomacstatecollegeofwvu,tannerevertonovz3,Tanner Everton
May 3,away,Harford,W,5-2,5,5,,,,,,,,,,,,,2013,2012-13,div1,Potomac State,potomacstatecollegeofwvu,tannerevertonovz3,Tanner Everton
May 3,away,Harford,L,7-4,7,7,,,,,,,,,,,,,2013,2012-13,div1,Potomac State,potomacstatecollegeofwvu,tannerevertonovz3,Tanner Everton
May 5,away,Allegheny County-South,W,11-9,11,11,1,1,0,0,4.0,2,,,0.00,,4,,2013,2012-13,div1,Potomac State,potomacstatecollegeofwvu,tannerevertonovz3,Tanner Everton
May 5,away,Allegheny County-South,W,7-1,7,7,,,,,,,,,,,,,2013,2012-13,div1,Potomac State,potomacstatecollegeofwvu,tannerevertonovz3,Tanner Everton
May 10,home,vs. Harford,W,12-9,12,12,1,1,0,0,5.1,10,3,3,5.06,0,1,,2013,2012-13,div1,Potomac State,potomacstatecollegeofwvu,tannerevertonovz3,Tanner Everton
May 12,home,vs. Chesapeake,W,9-1,9,9,,,,,,,,,,,,,2013,2012-13,div1,Potomac State,potomacstatecollegeofwvu,tannerevertonovz3,Tanner Everton
May 13,home,vs. Harford,W,5-2,5,5,,,,,,,,,,,,,2013,2012-13,div1,Potomac State,potomacstatecollegeofwvu,tannerevertonovz3,Tanner Everton
May 17,home,Spartanburg Methodist,L,11-9,11,11,1,0,0,0,6.0,6,5,5,7.50,5,4,1,2013,2012-13,div1,Potomac State,potomacstatecollegeofwvu,tannerevertonovz3,Tanner Everton
May 17,home,vs. USC Lancaster,W,8-0,8,8,,,,,,,,,,,,,2013,2012-13,div1,Potomac State,potomacstatecollegeofwvu,tannerevertonovz3,Tanner Everton
May 18,home,vs. ASA New York,W,4-3,4,4,,,,,,,,,,,,,2013,2012-13,div1,Potomac State,potomacstatecollegeofwvu,tannerevertonovz3,Tanner Everton
May 19,home,Spartanburg Methodist,L,17-2,17,17,0,0,0,0,0.1,,,,0.00,,,,2013,2012-13,div1,Potomac State,potomacstatecollegeofwvu,tannerevertonovz3,Tanner Everton
