season,njcaa_division,team,team_id,player_id,player_name,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,TB,HBP,SH,SF,XBH,HDP,GO,FO,GO/FO,BA,OBP,SLG,OPS,OPS+,ISO,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2023,div1,Allen County,allencountycommunitycollege,brettbuchananmgkt,Brett Buchanan,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2023,div1,Allen County,allencountycommunitycollege,cadeschuppf9o1,Cade Schupp,11,23.0,20.0,6.0,9.0,2.0,0.0,0.0,6.0,2.0,0.0,3.0,5.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.45,0.522,0.65,1.172,105.0,0.1,0.6,0.5,0.0,0.217,0.13,0.087,0.6
2023,div1,Allen County,allencountycommunitycollege,calebhorsey1fo1,Caleb Horsey,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2023,div1,Allen County,allencountycommunitycollege,caleclark1kpe,Cale Clark,2,7.0,6.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.5,0.571,0.833,1.404,126.0,0.167,0.6,0.5,0.0,0.143,0.143,0.0,1.0
2023,div1,Allen County,allencountycommunitycollege,carsonshepherdwazi,Carson Shepherd,15,63.0,38.0,9.0,8.0,2.0,0.0,1.0,12.0,5.0,2.0,13.0,12.0,13.0,7.0,3.0,2.0,3.0,1.0,0.0,0.0,,0.211,0.444,0.421,0.865,78.0,0.053,0.259,0.296,0.016,0.19,0.206,-0.016,1.083
2023,div1,Allen County,allencountycommunitycollege,carsonsowelltrog,Carson Sowell,3,10.0,9.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.222,0.3,0.667,0.967,87.0,0.0,0.25,0.0,0.1,0.4,0.0,0.4,0.0
2023,div1,Allen County,allencountycommunitycollege,coltonayresuf8p,Colton Ayres,16,63.0,43.0,8.0,10.0,3.0,1.0,0.0,4.0,4.0,2.0,12.0,14.0,15.0,4.0,3.0,1.0,4.0,0.0,1.0,1.0,1.0,0.233,0.413,0.442,0.855,77.0,0.14,0.333,0.308,0.0,0.222,0.19,0.032,0.857
2023,div1,Allen County,allencountycommunitycollege,ethannissen6ygm,Ethan Nissen,5,14.0,11.0,1.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0,1.0,6.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.182,0.357,0.545,0.902,81.0,0.182,0.4,0.2,0.0,0.429,0.071,0.358,0.167
2023,div1,Allen County,allencountycommunitycollege,gabeglenncg1e,Gabe Glenn,12,34.0,32.0,8.0,11.0,2.0,1.0,1.0,5.0,6.0,0.0,1.0,9.0,18.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,0.344,0.382,0.688,1.07,96.0,0.156,0.455,0.583,0.029,0.265,0.029,0.236,0.111
2023,div1,Allen County,allencountycommunitycollege,gagestark07lj,Gage Stark,11,39.0,28.0,9.0,9.0,1.0,0.0,0.0,3.0,6.0,0.0,8.0,8.0,10.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,,0.321,0.436,0.393,0.829,74.0,0.036,0.429,0.529,0.0,0.205,0.205,0.0,1.0
2023,div1,Allen County,allencountycommunitycollege,garrettruschhc13,Garrett Rusch,17,71.0,53.0,19.0,18.0,2.0,0.0,0.0,9.0,10.0,0.0,10.0,13.0,20.0,7.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.34,0.493,0.415,0.908,81.0,0.038,0.45,0.543,0.0,0.183,0.141,0.042,0.769
2023,div1,Allen County,allencountycommunitycollege,hunterheavenerpc5d,Hunter Heavener,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
2023,div1,Allen County,allencountycommunitycollege,jackbland5g5h,Jack Bland,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,
