season,njcaa_season,team,team_id,G,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI
2024,2023-24,Potomac State,wvupotomacstatecollege,206,15.0,7.0,8.0,3.0,0.833,116.0,93.0,82.0,0.882,86.96,69.0
2024,2023-24,Prairie State,prairiestatecollege,206,15.0,6.0,9.0,2.0,0.882,87.0,91.0,56.0,0.615,125.99,76.0
2024,2023-24,Pratt,prattcommunitycollege,384,28.0,11.0,18.0,1.0,0.967,280.0,249.0,207.0,0.831,269.56,135.0
2024,2023-24,Prince George's,princegeorgescommunitycollege,50,3.0,1.0,3.0,0.0,1.0,41.0,30.0,21.0,0.7,32.69,24.0
2024,2023-24,Queensborough,queensboroughcommunitycollege,29,1.0,0.0,1.0,0.0,1.0,44.0,47.0,32.0,0.681,43.78,10.0
2024,2023-24,RCSJ Cumberland,rowancollegeofsouthjerseycumberland,209,15.0,5.0,8.0,1.0,0.929,116.0,130.0,93.0,0.715,131.58,91.0
2024,2023-24,RCSJ Gloucester,rowancollegesouthjerseygloucester,306,21.0,19.0,3.0,1.0,0.957,97.0,73.0,56.0,0.767,94.09,87.0
2024,2023-24,Ranger,rangercollege,368,3.0,19.0,12.0,7.0,0.816,206.0,178.0,139.0,0.781,163.89,124.0
2024,2023-24,Raritan Valley,raritanvalleycommunitycollege,173,0.0,10.0,3.0,7.0,0.65,123.0,109.0,79.0,0.725,88.95,74.0
2024,2023-24,Redlands,redlandscommunitycollege,418,1.0,5.0,25.0,0.0,1.0,272.0,306.0,221.0,0.722,242.02,140.0
2024,2023-24,Rend Lake,rendlakecollege,451,26.0,13.0,15.0,3.0,0.903,192.0,147.0,117.0,0.796,151.14,115.0
2024,2023-24,Rhode Island,communitycollegeofrhodeisland,68,5.0,0.0,4.0,0.0,1.0,33.0,45.0,31.0,0.689,45.16,26.0
2024,2023-24,Richard Bland,richardblandcollege,284,16.0,9.0,8.0,3.0,0.85,179.0,146.0,124.0,0.849,166.56,105.0
