school_name,njcaa_season,division,team_id,season
Coastal Alabama - Bay Minette,2012-13,div1,faulknerstatecommunitycollege,2013
Florence-Darlington Tech,2012-13,div1,florencedarlingtontechnicalcollege,2013
Florida State Jacksonville,2012-13,div1,floridastatecollegeatjacksonville,2013
Fort Scott,2012-13,div1,fortscottcommunitycollege,2013
Frank Phillips,2012-13,div1,frankphillipscollege,2013
Galveston,2012-13,div1,galvestoncollege,2013
Garden City,2012-13,div1,gardencitycommunitycollege,2013
Georgia Perimeter,2012-13,div1,georgiaperimetercollege,2013
Globe Tech,2012-13,div1,globeinstituteoftechnology,2013
Gordon State,2012-13,div1,gordonstatecollege,2013
Grayson,2012-13,div1,graysoncountycollege,2013
Guilford Tech,2012-13,div1,guilfordtechnicalcommunitycollege,2013
Gulf Coast State,2012-13,div1,gulfcoaststatecollege,2013
Hagerstown,2012-13,div1,hagerstowncommunitycollege,2013
Harford,2012-13,div1,harfordcommunitycollege,2013
Highland (KS),2012-13,div1,highlandcommunitycollegekansas,2013
Hill,2012-13,div1,hillcollege,2013
Hillsborough,2012-13,div1,hillsboroughcommunitycollege,2013
Howard (TX),2012-13,div1,howardcollege,2013
Hutchinson,2012-13,div1,hutchinsoncommunitycollege,2013
Independence,2012-13,div1,independencecommunitycollege,2013
Indian Hills,2012-13,div1,indianhillscommunitycollegecentervil,2013
Indian River State,2012-13,div1,indianriverstatecollege,2013
Iowa Western,2012-13,div1,iowawesterncommunitycollege,2013
Jackson State,2012-13,div1,jacksonstatecommunitycollege,2013
Jefferson (MO),2012-13,div1,jeffersoncollege,2013
Coastal Alabama - Brewton,2012-13,div1,jeffersondaviscommunitycollege,2013
John A. Logan,2012-13,div1,johnalogancollege,2013
Johnson County,2012-13,div1,johnsoncountycommunitycollege,2013
Kansas City Kansas,2012-13,div1,kansascitykansascommunitycollege,2013
Kaskaskia,2012-13,div1,kaskaskiacollege,2013
Kishwaukee,2012-13,div1,kishwaukeecollege,2013
Labette,2012-13,div1,labettecommunitycollege,2013
Lake Land,2012-13,div1,lakelandcollege,2013
Lake-Sumter State,2012-13,div1,lakesumtercommunitycollege,2013
Lamar,2012-13,div1,lamarcommunitycollege,2013
Laredo,2012-13,div1,laredocommunitycollege,2013
Lawson State,2012-13,div1,lawsonstatecommunitycollege,2013
Lincoln Trail,2012-13,div1,lincolntrailcollege,2013
Lon Morris College,2012-13,div1,lonmorriscollege,2013
Louisburg,2012-13,div1,louisburgcollege,2013
Luna,2012-13,div1,lunacommunitycollege,2013
Lurleen B. Wallace,2012-13,div1,lurleenbwallacecommunitycollege,2013
Marion Military,2012-13,div1,marionmilitaryinstitute,2013
Marshalltown,2012-13,div1,marshalltowncommunitycollege,2013
MCC-Maple Woods,2012-13,div1,mccmaplewoods,2013
McCook,2012-13,div1,mccookcommunitycollege,2013
McLennan,2012-13,div1,mclennancommunitycollege,2013
Meridian,2012-13,div1,meridiancommunitycollege,2013
Miami Dade,2012-13,div1,miamidadecollege,2013
Middle Georgia State,2012-13,div1,middlegeorgiacollege,2013
Midland,2012-13,div1,midlandcollege,2013
Mineral Area,2012-13,div1,mineralareacollege,2013
Monroe College,2012-13,div1,monroecollege,2013
Monroe CC,2012-13,div1,monroecommunitycollege,2013
Motlow State,2012-13,div1,motlowstatecommunitycollege,2013
Muscatine,2012-13,div1,muscatinecommunitycollege,2013
Navarro,2012-13,div1,navarrocollege,2013
Neosho County,2012-13,div1,neoshocountycommunitycollege,2013
New Mexico,2012-13,div1,newmexicojuniorcollege,2013
New Mexico Military,2012-13,div1,newmexicomilitaryinstitute,2013
North Central Missouri,2012-13,div1,northcentralmissouricollege,2013
North Central Texas,2012-13,div1,northcentraltexascollege,2013
Northeastern,2012-13,div1,northeasternjuniorcollege,2013
Northeastern Oklahoma A&M,2012-13,div1,northeasternoklahomaamcollege,2013
Northeast Texas,2012-13,div1,northeasttexascommunitycollege,2013
Northwest Florida State,2012-13,div1,northwestfloridastatecollege,2013
Odessa,2012-13,div1,odessacollege,2013
Olive-Harvey,2012-13,div1,oliveharveycollege,2013
Olney Central,2012-13,div1,olneycentralcollege,2013
Onondaga,2012-13,div1,onondagacommunitycollege,2013
Otero,2012-13,div1,oterojuniorcollege,2013
Palm Beach State,2012-13,div1,palmbeachstatecollege,2013
Panola,2012-13,div1,panolacollege,2013
Paris,2012-13,div1,parisjuniorcollege,2013
Pensacola State,2012-13,div1,pensacolastatecollege,2013
Pima,2012-13,div1,pimacommunitycollege,2013
Pitt,2012-13,div1,pittcommunitycollege,2013
Polk State,2012-13,div1,polkstatecollege,2013
Potomac State,2012-13,div1,potomacstatecollegeofwvu,2013
Pratt,2012-13,div1,prattcommunitycollege,2013
Ranger,2012-13,div1,rangercollege,2013
Rend Lake,2012-13,div1,rendlakecollege,2013
Roane State,2012-13,div1,roanestatecommunitycollege,2013
Rose State,2012-13,div1,rosestatecollege,2013
Salt Lake,2012-13,div1,saltlakecommunitycollege,2013
San Jacinto-North,2012-13,div1,sanjacintocollegenorth,2013
Santa Fe,2012-13,div1,santafecollege,2013
Seminole State (OK),2012-13,div1,seminolestatecollege,2013
Seminole State (FL),2012-13,div1,seminolestatecollegeofflorida,2013
Seward County,2012-13,div1,sewardcountycommunitycollege,2013
Shawnee,2012-13,div1,shawneecommunitycollege,2013
Shelton State,2012-13,div1,sheltonstatecommunitycollege,2013
Snead State,2012-13,div1,sneadstatecommunitycollege,2013
Southeastern Illinois,2012-13,div1,southeasternillinoiscollege,2013
Southern Union State,2012-13,div1,southernunionstatecommunitycollege,2013
South Florida State,2012-13,div1,southfloridastatecollege,2013
South Georgia State,2012-13,div1,southgeorgiacollege,2013
South Mountain,2012-13,div1,southmountaincommunitycollege,2013
South Suburban,2012-13,div1,southsuburbancollege,2013
Southwestern Illinois,2012-13,div1,southwesternillinoiscollege,2013
Southwest Tennessee,2012-13,div1,southwesttennesseecommunitycollege,2013
Spartanburg Methodist,2012-13,div1,spartanburgmethodist,2013
State College of Florida,2012-13,div1,statecollegeoffloridamanateesaraso,2013
St. Charles,2012-13,div1,stcharlescommunitycollege,2013
St. Johns River State,2012-13,div1,stjohnsriverstatecollege,2013
St. Louis,2012-13,div1,stlouiscommunitycollege,2013
St. Petersburg,2012-13,div1,stpetersburgcollege,2013
Tallahassee,2012-13,div1,tallahasseecommunitycollege,2013
Temple,2012-13,div1,templecollege,2013
Texarkana College,2012-13,div1,texarkanacollege,2013
Three Rivers,2012-13,div1,threeriverscommunitycollegemo,2013
Trinidad State,2012-13,div1,trinidadstatejuniorcollege,2013
Triton,2012-13,div1,tritoncollege,2013
USC Lancaster,2012-13,div1,usclancaster,2013
USC Salkehatchie,2012-13,div1,uscsalkehatchie,2013
USC Sumter,2012-13,div1,uscsumter,2013
Vernon,2012-13,div1,vernoncollege,2013
Volunteer State,2012-13,div1,volunteerstatecommunitycollege,2013
Wabash Valley,2012-13,div1,wabashvalleycollege,2013
Wallace-Dothan,2012-13,div1,wallacecommunitycollegedothan,2013
Wallace-Selma,2012-13,div1,wallacecommunitycollegeselma,2013
Wallace State,2012-13,div1,wallacestatecommunitycollegehancevil,2013
Walters State,2012-13,div1,waltersstatecommunitycollege,2013
Weatherford,2012-13,div1,weatherfordcollege,2013
Western Nebraska,2012-13,div1,westernnebraskacommunitycollege,2013
Western Nevada,2012-13,div1,westernnevadacollege,2013
Western Texas,2012-13,div1,westerntexascollege,2013
West Georgia Tech,2012-13,div1,westgeorgiatechnicalcollege,2013
Wharton County,2012-13,div1,whartoncountyjuniorcollege,2013
Yavapai,2012-13,div1,yavapaicollege,2013
Allegany Maryland,2012-13,div2,alleganycollegeofmaryland,2013
Marian-Ancilla,2012-13,div2,ancillacollege,2013
Anne Arundel,2012-13,div2,annearundelcommunitycollege,2013
Bismarck State,2012-13,div2,bismarckstatecollege,2013
Black Hawk-Moline,2012-13,div2,blackhawkcollegemoline,2013
Brown Mackie,2012-13,div2,brownmackiecollege,2013
Brunswick,2012-13,div2,brunswickcommunitycollege,2013
Rowan Burlington,2012-13,div2,burlingtoncountycollege,2013
Carl Albert State,2012-13,div2,carlalbertstatecollege,2013
Carl Sandburg,2012-13,div2,carlsandburgcollege,2013
Catawba Valley,2012-13,div2,catawbavalleycommunitycollege,2013
CCBC Catonsville,2012-13,div2,ccbccatonsville,2013
CCBC Dundalk,2012-13,div2,ccbcdundalk,2013
CCBC Essex,2012-13,div2,ccbcessex,2013
Cecil,2012-13,div2,cecilcollege,2013
Chandler-Gilbert,2012-13,div2,chandlergilbertcommunitycollege,2013
Coahoma,2012-13,div2,coahomacommunitycollege,2013
Lake County,2012-13,div2,collegeoflakecounty,2013
Southern Maryland,2012-13,div2,collegeofsouthernmaryland,2013
The Albemarle,2012-13,div2,collegeofthealbemarle,2013
Rhode Island,2012-13,div2,communitycollegeofrhodeisland,2013
Copiah-Lincoln,2012-13,div2,copiahlincolncommunitycollege,2013
Morris,2012-13,div2,countycollegeofmorris,2013
Cuyahoga,2012-13,div2,cuyahogacommunitycollege,2013
Dakota,2012-13,div2,dakotacollegeatbottineau,2013
Dakota County Tech,2012-13,div2,dakotacountytechnicalcollege,2013
Danville Area,2012-13,div2,danvilleareacommunitycollege,2013
Danville,2012-13,div2,danvillecommunitycollege,2013
Dawson,2012-13,div2,dawsoncommunitycollege,2013
Dean,2012-13,div2,deancollege,2013
Delaware Tech-Owens,2012-13,div2,delawaretechnicalcommunitycollege,2013
Delta,2012-13,div2,deltacollege,2013
Des Moines Area,2012-13,div2,desmoinesareacommunitycollege,2013
Dutchess,2012-13,div2,dutchesscommunitycollege,2013
East Central (MS),2012-13,div2,eastcentralcommunitycollege,2013
East Mississippi,2012-13,div2,eastmississippicommunitycollege,2013
Elgin,2012-13,div2,elgincommunitycollege,2013
Ellsworth,2012-13,div2,ellsworthcommunitycollege,2013
Frederick,2012-13,div2,frederickcommunitycollege,2013
Garrett,2012-13,div2,garrettcollege,2013
GateWay (AZ),2012-13,div2,gatewaycommunitycollegeaz,2013
Genesee,2012-13,div2,geneseecommunitycollege,2013
Glendale,2012-13,div2,glendalecommunitycollege,2013
Glen Oaks,2012-13,div2,glenoakscommunitycollege,2013
Grand Rapids,2012-13,div2,grandrapidscommunitycollege,2013
Heartland,2012-13,div2,heartlandcommunitycollege,2013
Henry Ford,2012-13,div2,henryfordcommunitycollege,2013
Hesston,2012-13,div2,hesstoncollege,2013
Highland (IL),2012-13,div2,highlandcommunitycollegeillinois,2013
Hinds,2012-13,div2,hindscommunitycollege,2013
Holmes,2012-13,div2,holmescommunitycollege,2013
Illinois Central,2012-13,div2,illinoiscentralcollege,2013
Illinois Valley,2012-13,div2,illinoisvalleycommunitycollege,2013
Iowa Central,2012-13,div2,iowacentralcommunitycollege,2013
Iowa Lakes,2012-13,div2,iowalakescommunitycollege,2013
Itawamba,2012-13,div2,itawambacommunitycollege,2013
Jackson,2012-13,div2,jacksoncommunitycollege,2013
John Wood,2012-13,div2,johnwoodcommunitycollege,2013
Jones,2012-13,div2,jonescollege,2013
Kalamazoo Valley,2012-13,div2,kalamazoovalleycommunitycollege,2013
Kankakee,2012-13,div2,kankakeecommunitycollege,2013
Kellogg,2012-13,div2,kelloggcommunitycollege,2013
Kirkwood,2012-13,div2,kirkwoodcommunitycollege,2013
Lackawanna,2012-13,div2,lackawannacollege,2013
Lakeland,2012-13,div2,lakelandcommunitycollege,2013
Lake Michigan,2012-13,div2,lakemichigancollege,2013
Lansing,2012-13,div2,lansingcommunitycollege,2013
Lenoir,2012-13,div2,lenoircommunitycollege,2013
Lewis & Clark,2012-13,div2,lewisclarkcommunitycollege,2013
Lincoln,2012-13,div2,lincolncollege,2013
Lincoln Land,2012-13,div2,lincolnlandcommunitycollege,2013
LSU Eunice,2012-13,div2,louisianastateuniversityeunice,2013
Macomb,2012-13,div2,macombcommunitycollege,2013
Madison,2012-13,div2,madisoncollege,2013
MCC-Longview,2012-13,div2,mcclongview,2013
McHenry County,2012-13,div2,mchenrycountycollege,2013
Mercer County,2012-13,div2,mercercountycommunitycollege,2013
Mercyhurst North East,2012-13,div2,mercyhurstnortheast,2013
Mesa,2012-13,div2,mesacommunitycollege,2013
Miles,2012-13,div2,milescommunitycollege,2013
Mississippi Delta,2012-13,div2,mississippideltacommunitycollege,2013
Mississippi Gulf Coast,2012-13,div2,mississippigulfcoastcommunitycollege,2013
Monroe CC,2012-13,div2,monroecommunitycollege,2013
Moraine Valley,2012-13,div2,morainevalleycommunitycollege,2013
Morton,2012-13,div2,mortoncollege,2013
Mott,2012-13,div2,mottcommunitycollege,2013
Murray State,2012-13,div2,murraystatecollege,2013
Muskegon,2012-13,div2,muskegoncommunitycollege,2013
New River,2012-13,div2,newrivercommunitycollege,2013
Northeast Mississippi,2012-13,div2,northeastmississippicommunitycollege,2013
Northern Oklahoma Enid,2012-13,div2,northernoklahomacollegeenid,2013
Northern Oklahoma Tonkawa,2012-13,div2,northernoklahomacollegetonkawa,2013
North Iowa Area,2012-13,div2,northiowaareacommunitycollege,2013
Northwest Mississippi,2012-13,div2,northwestmississippicommunitycollege,2013
Oakton,2012-13,div2,oaktoncommunitycollege,2013
Orange County,2012-13,div2,orangecountycommunitycollege,2013
Owens,2012-13,div2,owenscommunitycollege,2013
Paradise Valley,2012-13,div2,paradisevalleycommunitycollege,2013
Parkland,2012-13,div2,parklandcollege,2013
Pasco-Hernando State,2012-13,div2,pascohernandocommunitycollege,2013
Patrick & Henry,2012-13,div2,patrickhenrycommunitycollege,2013
Pearl River,2012-13,div2,pearlrivercommunitycollege,2013
Phoenix,2012-13,div2,phoenixcollege,2013
Prairie State,2012-13,div2,prairiestatecollege,2013
Rappahannock Community College,2012-13,div2,rappahannockcommunitycollege,2013
Raritan Valley,2012-13,div2,raritanvalleycommunitycollege,2013
Redlands,2012-13,div2,redlandscommunitycollege,2013
Rockingham,2012-13,div2,rockinghamcommunitycollege,2013
Rockland,2012-13,div2,rocklandcommunitycollege,2013
Salem,2012-13,div2,salemcommunitycollege,2013
Sauk Valley,2012-13,div2,saukvalleycommunitycollege,2013
Scottsdale,2012-13,div2,scottsdalecommunitycollege,2013
Sinclair,2012-13,div2,sinclaircommunitycollege,2013
Southeast,2012-13,div2,southeastcommunitycollege,2013
Southeastern,2012-13,div2,southeasterncommunitycollege,2013
Southeastern-Whiteville,2012-13,div2,southeasterncommunitycollegewhitevill,2013
Southwestern,2012-13,div2,southwesterncommunitycollege,2013
Southwest Mississippi,2012-13,div2,southwestmississippicommunitycollege,2013
Spoon River,2012-13,div2,spoonrivercollege,2013
Stanly Community College,2012-13,div2,stanlycommunitycollege,2013
St. Clair County,2012-13,div2,stclaircountycommunitycollege,2013
Sullivan County,2012-13,div2,sullivancountycommunitycollege,2013
Surry,2012-13,div2,surrycommunitycollege,2013
Sussex County,2012-13,div2,sussexcountycommunitycollege,2013
Ulster County,2012-13,div2,ulstercountycommunitycollege,2013
UConn Avery Point,2012-13,div2,universityofconnecticutataverypoint,2013
Utah State Eastern,2012-13,div2,utahstateeastern,2013
Vincennes,2012-13,div2,vincennesuniversity,2013
Wake Tech,2012-13,div2,waketechnicalcommunitycollege,2013
Westchester,2012-13,div2,westchestercommunitycollege,2013
Western Oklahoma State,2012-13,div2,westernoklahomastatecollege,2013
Wilkes Community College,2012-13,div2,wilkescommunitycollege,2013
Williston State,2012-13,div2,willistonstatecollege,2013
Alfred State College,2012-13,div3,alfredstatecollege,2013
Anoka-Ramsey,2012-13,div3,anokaramseycommunitycollege,2013
Atlantic Cape,2012-13,div3,atlanticcapecommunitycollege,2013
Bergen,2012-13,div3,bergencommunitycollege,2013
Borough of Manhattan,2012-13,div3,boroughofmanhattancommunitycollege,2013
Bronx,2012-13,div3,bronxcommunitycollege,2013
Brookdale,2012-13,div3,brookdalecommunitycollege,2013
Dallas College - Brookhaven,2012-13,div3,brookhavencollege,2013
SUNY Broome,2012-13,div3,broomecommunitycollege,2013
Bucks County,2012-13,div3,buckscountycommunitycollege,2013
Bunker Hill,2012-13,div3,bunkerhillcommunitycollege,2013
Butler County,2012-13,div3,butlercountycommunitycollegepa,2013
Camden County,2012-13,div3,camdencountycollege,2013
Allegheny County-Boyce,2012-13,div3,ccofalleghenycountyboyce,2013
Allegheny County-South,2012-13,div3,ccofalleghenycountysouth,2013
Dallas College - Cedar Valley,2012-13,div3,cedarvalleycollege,2013
Central Lakes,2012-13,div3,centrallakescollegebrainerd,2013
Century,2012-13,div3,centurycollege,2013
Clinton (NY),2012-13,div3,clintoncommunitycollege,2013
DuPage,2012-13,div3,collegeofdupage,2013
Columbia-Greene,2012-13,div3,columbiagreenecommunitycollege,2013
Corning,2012-13,div3,corningcommunitycollege,2013
RCSJ Cumberland,2012-13,div3,cumberlandcountycollege,2013
Delaware County,2012-13,div3,delawarecountycommunitycollege,2013
Dallas College - Eastfield,2012-13,div3,eastfieldcollege,2013
Erie,2012-13,div3,eriecommunitycollege,2013
Finger Lakes,2012-13,div3,fingerlakescommunitycollege,2013
Fond du Lac Tribal & CC,2012-13,div3,fonddulactribalcommunitycollege,2013
Fulton-Montgomery,2012-13,div3,fultonmontgomerycommunitycollege,2013
RCSJ Gloucester,2012-13,div3,gloucestercountycollege,2013
Harper,2012-13,div3,harpercollege,2013
Herkimer,2012-13,div3,herkimercountycommunitycollege,2013
Minnesota North College - Hibbing,2012-13,div3,hibbingcommunitycollege,2013
Holyoke,2012-13,div3,holyokecommunitycollege,2013
Hudson Valley,2012-13,div3,hudsonvalleycommunitycollege,2013
Minnesota North College - Itasca,2012-13,div3,itascacommunitycollege,2013
Jamestown,2012-13,div3,jamestowncommunitycollege,2013
Jefferson (NY),2012-13,div3,jeffersoncommunitycollege,2013
Joliet,2012-13,div3,jolietjuniorcollege,2013
Kingsborough,2012-13,div3,kingsboroughcommunitycollege,2013
Lehigh Carbon,2012-13,div3,lehighcarboncommunitycollege,2013
Lorain County,2012-13,div3,loraincountycommunitycollege,2013
Luzerne County,2012-13,div3,luzernecountycommunitycollege,2013
Massasoit,2012-13,div3,massasoitcommunitycollege,2013
MassBay,2012-13,div3,massbaycommunitycollege,2013
Minnesota North College - Mesabi Range,2012-13,div3,mesabirangectc,2013
Middlesex College,2012-13,div3,middlesexcountycollege,2013
Milwaukee Area Tech,2012-13,div3,milwaukeeareatechnicalcollege,2013
Minnesota State,2012-13,div3,minnesotastatecommunityandtechnical,2013
Minnesota West,2012-13,div3,minnesotawestcommunitytechnicalcol,2013
Mohawk Valley,2012-13,div3,mohawkvalleycommunitycollege,2013
Montgomery,2012-13,div3,montgomerycollegemd,2013
Montgomery County,2012-13,div3,montgomerycountycommunitycollegepa,2013
Dallas College - Mountain View,2012-13,div3,mountainviewcollege,2013
Nassau,2012-13,div3,nassaucommunitycollege,2013
Niagara County,2012-13,div3,niagaracountycommunitycollege,2013
Northampton,2012-13,div3,northamptoncommunitycollege,2013
North Arkansas,2012-13,div3,northarkansascollege,2013
Northern Essex,2012-13,div3,northernessexcommunitycollege,2013
Dallas College - North Lake,2012-13,div3,northlakecollege,2013
Northland,2012-13,div3,northlandcommunitytechnicalcollege,2013
Ocean County,2012-13,div3,oceancountycollege,2013
Onondaga,2012-13,div3,onondagacommunitycollege,2013
Prince George's,2012-13,div3,princegeorgescommunitycollege,2013
Queensborough,2012-13,div3,queensboroughcommunitycollege,2013
Quinsigamond,2012-13,div3,quinsigamondcommunitycollege,2013
Minnesota North College - Rainy River,2012-13,div3,rainyrivercommunitycollege,2013
Dallas College - Richland,2012-13,div3,richlandcollege,2013
Ridgewater,2012-13,div3,ridgewatercollege,2013
Riverland,2012-13,div3,riverlandcommunitycollege,2013
Rochester,2012-13,div3,rochestercommunityandtechnicalcolleg,2013
Rock Valley,2012-13,div3,rockvalleycollege,2013
Roxbury,2012-13,div3,roxburycommunitycollege,2013
Schenectady County,2012-13,div3,schenectadycountycommunitycollege,2013
St. Cloud Tech,2012-13,div3,stcloudtechnicalcommunitycollege,2013
Suffolk County,2012-13,div3,suffolkcc,2013
SUNY Adirondack,2012-13,div3,sunyadirondack,2013
Tompkins Cortland,2012-13,div3,tompkinscortlandcommunitycollege,2013
Tyler,2012-13,div3,tylerjuniorcollege,2013
Union,2012-13,div3,unioncountycollege,2013
Minnesota North College - Vermilion,2012-13,div3,vermilioncommunitycollege,2013
Waubonsee,2012-13,div3,waubonseecommunitycollege,2013
Western Tech,2012-13,div3,westerntechnicalcollege,2013
Westmoreland,2012-13,div3,westmorelandcountycommunitycollege,2013
Abraham Baldwin,2013-14,div1,abrahambaldwinagriculturalcollege,2014
Coastal Alabama - Monroeville,2013-14,div1,alabamasoutherncommunitycollege,2014
Allen County,2013-14,div1,allencountycommunitycollege,2014
Alvin,2013-14,div1,alvincommunitycollege,2014
Andrew,2013-14,div1,andrewcollege,2014
Angelina,2013-14,div1,angelinacollege,2014
Arizona Western,2013-14,div1,arizonawesterncollege,2014
Arkansas Baptist,2013-14,div1,arkansasbaptistcollege,2014
ASA New York,2013-14,div1,asabrooklynavengers,2014
Barton,2013-14,div1,bartoncommunitycollege,2014
Baton Rouge,2013-14,div1,batonrougecommunitycollege,2014
Bishop State,2013-14,div1,bishopstatecommunitycollege,2014
Blinn,2013-14,div1,blinncollege,2014
Bossier Parish,2013-14,div1,bossierparishcommunitycollege,2014
Broward,2013-14,div1,browardcollege,2014
Butler,2013-14,div1,butlercommunitycollegeks,2014
Calhoun,2013-14,div1,calhouncommunitycollege,2014
Central Alabama,2013-14,div1,centralalabamacommunitycollege,2014
Central Arizona,2013-14,div1,centralarizonacollege,2014
Chattahoochee Valley,2013-14,div1,chattahoocheevalleycommunitycollege,2014
Chattanooga State,2013-14,div1,chattanoogastatecommunitycollege,2014
Chesapeake,2013-14,div1,chesapeakecollege,2014
Chipola,2013-14,div1,chipolacollege,2014
Cisco,2013-14,div1,ciscocollege,2014
Clarendon,2013-14,div1,clarendoncollege,2014
Cleveland State,2013-14,div1,clevelandstatecommunitycollege,2014
Cloud County,2013-14,div1,cloudcountycommunitycollege,2014
Cochise,2013-14,div1,cochisecollege,2014
Coffeyville,2013-14,div1,coffeyvillecommunitycollege,2014
Colby,2013-14,div1,colbycommunitycollege,2014
Central Florida,2013-14,div1,collegeofcentralflorida,2014
Southern Idaho,2013-14,div1,collegeofsouthernidaho,2014
Southern Nevada,2013-14,div1,collegeofsouthernnevada,2014
Colorado Northwestern,2013-14,div1,coloradonorthwesterncommunitycollege,2014
Columbia State,2013-14,div1,columbiastatecommunitycollege,2014
Connors State,2013-14,div1,connorsstatecollege,2014
Cowley,2013-14,div1,cowleycountycommunitycollege,2014
Crowder,2013-14,div1,crowdercollege,2014
Darton State,2013-14,div1,dartonstatecollege,2014
Daytona State,2013-14,div1,daytonastatecollege,2014
Delgado,2013-14,div1,delgadocommunitycollege,2014
Dodge City,2013-14,div1,dodgecitycommunitycollege,2014
Dyersburg State,2013-14,div1,dyersburgstatecommunitycollege,2014
Eastern Arizona,2013-14,div1,easternarizonacollege,2014
Eastern Florida State,2013-14,div1,easternfloridastatecollege,2014
Eastern Oklahoma State,2013-14,div1,easternoklahomastatecollege,2014
East Georgia State,2013-14,div1,eastgeorgiacollege,2014
El Paso,2013-14,div1,elpasocommunitycollege,2014
Enterprise State,2013-14,div1,enterprisestatecommunitycollege,2014
Coastal Alabama - Bay Minette,2013-14,div1,faulknerstatecommunitycollege,2014
Florence-Darlington Tech,2013-14,div1,florencedarlingtontechnicalcollege,2014
Florida State Jacksonville,2013-14,div1,floridastatecollegeatjacksonville,2014
Fort Scott,2013-14,div1,fortscottcommunitycollege,2014
Frank Phillips,2013-14,div1,frankphillipscollege,2014
Galveston,2013-14,div1,galvestoncollege,2014
Garden City,2013-14,div1,gardencitycommunitycollege,2014
Georgia Highlands,2013-14,div1,georgiahighlandscollege,2014
Georgia Perimeter,2013-14,div1,georgiaperimetercollege,2014
Globe Tech,2013-14,div1,globeinstituteoftechnology,2014
Gordon State,2013-14,div1,gordonstatecollege,2014
Grayson,2013-14,div1,graysoncountycollege,2014
Guilford Tech,2013-14,div1,guilfordtechnicalcommunitycollege,2014
Gulf Coast State,2013-14,div1,gulfcoaststatecollege,2014
Hagerstown,2013-14,div1,hagerstowncommunitycollege,2014
Harford,2013-14,div1,harfordcommunitycollege,2014
Highland (KS),2013-14,div1,highlandcommunitycollegekansas,2014
Hill,2013-14,div1,hillcollege,2014
Hillsborough,2013-14,div1,hillsboroughcommunitycollege,2014
Howard (TX),2013-14,div1,howardcollege,2014
Hutchinson,2013-14,div1,hutchinsoncommunitycollege,2014
Independence,2013-14,div1,independencecommunitycollege,2014
Indian Hills,2013-14,div1,indianhillscommunitycollege,2014
Indian River State,2013-14,div1,indianriverstatecollege,2014
Iowa Western,2013-14,div1,iowawesterncommunitycollege,2014
Jackson State,2013-14,div1,jacksonstatecommunitycollege,2014
Jefferson (MO),2013-14,div1,jeffersoncollege,2014
