season,njcaa_division,team,team_id,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,K,TB,HBP,SH,SF,XBH,HDP,GO,FO,GO/FO,BA,OBP,SLG,OPS,OPS+,BAbip,RS%,HR%,K%,BB%,K-BB%,BB/K
2018,div1,Cloud County,cloudcountycommunitycollege,2728,1920.0,1616.0,368.0,496.0,92.0,14.0,41.0,329.0,31.0,10.0,174.0,314.0,739.0,95.0,14.0,21.0,147.0,18.0,207.0,234.0,0.885,0.307,0.398,0.548,0.946,99.0,0.355,0.452,0.021,0.164,0.091,0.073,0.554
2018,div1,Coastal Alabama - Bay Minette,coastalalabamasouth,1904,1745.0,1451.0,277.0,395.0,70.0,6.0,11.0,227.0,59.0,22.0,144.0,250.0,510.0,78.0,60.0,12.0,87.0,0.0,0.0,0.0,,0.272,0.354,0.411,0.765,80.0,0.319,0.439,0.006,0.143,0.083,0.06,0.576
2018,div1,Coastal Alabama - Brewton,coastalalabamaeast,1020,1586.0,1355.0,239.0,373.0,70.0,9.0,20.0,210.0,23.0,1.0,157.0,311.0,521.0,31.0,40.0,3.0,99.0,2.0,0.0,0.0,,0.275,0.354,0.458,0.812,85.0,0.344,0.405,0.013,0.196,0.099,0.097,0.505
2018,div1,Coastal Alabama - Monroeville,coastalalabamanorth,1740,1861.0,1547.0,305.0,423.0,86.0,10.0,19.0,247.0,105.0,39.0,171.0,306.0,586.0,71.0,43.0,29.0,115.0,29.0,0.0,0.0,,0.273,0.357,0.453,0.81,85.0,0.323,0.443,0.01,0.164,0.092,0.072,0.559
2018,div1,Cochise,cochisecollege,1526,2052.0,1681.0,376.0,489.0,109.0,20.0,27.0,322.0,77.0,35.0,269.0,339.0,719.0,62.0,14.0,26.0,156.0,36.0,102.0,111.0,0.919,0.291,0.4,0.521,0.921,97.0,0.345,0.44,0.013,0.165,0.131,0.034,0.794
2018,div1,Coffeyville,coffeyvillecommunitycollege,1944,1845.0,1565.0,383.0,465.0,91.0,24.0,32.0,337.0,85.0,22.0,182.0,353.0,700.0,59.0,19.0,20.0,147.0,7.0,41.0,54.0,0.759,0.297,0.383,0.541,0.924,97.0,0.361,0.521,0.017,0.191,0.099,0.092,0.516
2018,div1,Colby,colbycommunitycollege,1760,1968.0,1673.0,435.0,525.0,89.0,17.0,73.0,383.0,72.0,22.0,213.0,339.0,867.0,57.0,9.0,16.0,179.0,26.0,127.0,139.0,0.914,0.314,0.404,0.625,1.029,108.0,0.354,0.501,0.037,0.172,0.108,0.064,0.628
2018,div1,Colorado Northwestern,coloradonorthwesterncommunitycollege,1568,1107.0,900.0,118.0,184.0,30.0,4.0,6.0,91.0,40.0,10.0,153.0,271.0,240.0,19.0,29.0,6.0,40.0,19.0,213.0,154.0,1.383,0.204,0.322,0.311,0.633,66.0,0.283,0.32,0.005,0.245,0.138,0.107,0.565
2018,div1,Columbia State,columbiastatecommunitycollege,1620,1938.0,1624.0,420.0,517.0,103.0,12.0,65.0,371.0,135.0,25.0,208.0,354.0,839.0,61.0,20.0,25.0,180.0,23.0,242.0,336.0,0.72,0.318,0.406,0.627,1.033,109.0,0.367,0.492,0.034,0.183,0.107,0.076,0.588
2018,div1,Connors State,connorsstatecollege,2378,2382.0,1833.0,707.0,726.0,139.0,18.0,75.0,663.0,48.0,1.0,370.0,242.0,1126.0,95.0,34.0,50.0,232.0,0.0,0.0,0.0,,0.396,0.5,0.741,1.241,130.0,0.416,0.566,0.031,0.102,0.155,-0.053,1.529
