season,njcaa_season,team,team_id,GS,W,L,SV,IP,H,R,ER,BB,K,HR,W-L%,ERA,ERA+,WHIP,H9,HR9,BB9,K9,K/BB,RA9
2023,2022-23,Cecil,cecilcollege,16.0,5.0,11.0,0.0,96.60000000000001,124.0,118.0,73.0,75.0,106.0,10.0,0.312,6.801,83.0,2.06,11.553,0.932,6.988,9.876,1.413,10.994
2023,2022-23,Central Alabama,centralalabamacommunitycollege,23.0,14.0,9.0,5.0,155.1,143.0,90.0,65.0,94.0,166.0,7.0,0.609,3.772,150.0,1.528,8.298,0.406,5.455,9.632,1.766,5.222
2023,2022-23,Central Arizona,centralarizonacollege,32.0,27.0,5.0,7.0,250.0,154.0,86.0,65.0,96.0,385.0,9.0,0.844,2.34,242.0,1.0,5.544,0.324,3.456,13.86,4.01,3.096
2023,2022-23,Central Florida,collegeofcentralflorida,30.0,29.0,1.0,9.0,229.2,208.0,136.0,101.0,113.0,309.0,25.0,0.967,3.966,143.0,1.401,8.168,0.982,4.437,12.134,2.735,5.34
2023,2022-23,Central Lakes,centrallakescollegebrainerd,4.0,2.0,1.0,2.0,23.6,28.0,25.0,22.0,17.0,25.0,1.0,0.667,8.39,68.0,1.907,10.678,0.381,6.483,9.534,1.471,9.534
2023,2022-23,Century,centurycollege,11.0,5.0,6.0,1.0,72.3,94.0,80.0,54.0,43.0,79.0,2.0,0.455,6.722,84.0,1.895,11.701,0.249,5.353,9.834,1.837,9.959
2023,2022-23,Chandler-Gilbert,chandlergilbertcommunitycollege,29.0,16.0,13.0,4.0,231.9,238.0,139.0,104.0,79.0,269.0,10.0,0.552,4.036,141.0,1.367,9.237,0.388,3.066,10.44,3.405,5.395
2023,2022-23,Chattahoochee Valley,chattahoocheevalleycommunitycollege,5.0,5.0,15.0,0.0,130.4,171.0,140.0,120.0,84.0,130.0,11.0,0.25,8.282,69.0,1.956,11.802,0.759,5.798,8.972,1.548,9.663
2023,2022-23,Chattanooga State,chattanoogastatecommunitycollege,4.0,15.0,5.0,2.0,125.5,148.0,104.0,97.0,67.0,125.0,18.0,0.75,6.956,82.0,1.713,10.614,1.291,4.805,8.964,1.866,7.458
2023,2022-23,Chesapeake,chesapeakecollege,12.0,5.0,7.0,1.0,78.7,93.0,83.0,57.0,35.0,84.0,6.0,0.417,6.518,87.0,1.626,10.635,0.686,4.003,9.606,2.4,9.492
2023,2022-23,Chipola,chipolacollege,32.0,21.0,13.0,3.0,214.7,218.0,172.0,139.0,181.0,253.0,26.0,0.618,5.827,97.0,1.858,9.138,1.09,7.587,10.605,1.398,7.21
2023,2022-23,Cisco,ciscocollege,24.0,18.0,6.0,1.0,146.5,154.0,120.0,95.0,103.0,160.0,1.0,0.75,5.836,97.0,1.754,9.461,0.061,6.328,9.829,1.553,7.372
2023,2022-23,Clarendon,clarendoncollege,29.0,16.0,13.0,2.0,179.5,265.0,224.0,185.0,145.0,237.0,28.0,0.552,9.276,61.0,2.284,13.287,1.404,7.27,11.883,1.634,11.231
2023,2022-23,Clark State,clarkstatecollege,0.0,1.0,0.0,0.0,60.1,63.0,83.0,50.0,64.0,73.0,0.0,1.0,7.488,76.0,2.113,9.434,0.0,9.584,10.932,1.141,12.429
2023,2022-23,Cleveland,clevelandcommunitycollege,18.0,9.0,7.0,2.0,144.6,119.0,102.0,73.0,103.0,200.0,10.0,0.562,4.544,125.0,1.535,7.407,0.622,6.411,12.448,1.942,6.349
2023,2022-23,Cleveland State,clevelandstatecommunitycollege,21.0,12.0,9.0,2.0,141.8,148.0,108.0,78.0,78.0,171.0,10.0,0.571,4.951,115.0,1.594,9.394,0.635,4.951,10.853,2.192,6.855
2023,2022-23,Cloud County,cloudcountycommunitycollege,19.0,11.0,8.0,3.0,125.0,132.0,119.0,94.0,82.0,190.0,14.0,0.579,6.768,84.0,1.712,9.504,1.008,5.904,13.68,2.317,8.568
2023,2022-23,Coahoma,coahomacommunitycollege,18.0,2.0,9.0,1.0,96.8,174.0,180.0,142.0,84.0,68.0,13.0,0.182,13.202,43.0,2.665,16.178,1.209,7.81,6.322,0.81,16.736
2023,2022-23,Coastal Alabama - Bay Minette,coastalalabamasouth,29.0,4.0,24.0,0.0,174.8,243.0,269.0,210.0,171.0,170.0,29.0,0.143,10.812,52.0,2.368,12.511,1.493,8.804,8.753,0.994,13.85
2023,2022-23,Coastal Alabama - Brewton,coastalalabamaeast,1.0,8.0,15.0,3.0,148.6,191.0,188.0,157.0,139.0,177.0,31.0,0.348,9.509,60.0,2.221,11.568,1.878,8.419,10.72,1.273,11.386
2023,2022-23,Coastal Alabama - Monroeville,coastalalabamanorth,18.0,12.0,6.0,2.0,108.9,125.0,96.0,72.0,97.0,107.0,4.0,0.667,5.95,95.0,2.039,10.331,0.331,8.017,8.843,1.103,7.934
2023,2022-23,Coastal Bend,coastalbendcollege,4.0,11.0,14.0,0.0,176.1,182.0,138.0,101.0,100.0,210.0,13.0,0.44,5.162,110.0,1.601,9.302,0.664,5.111,10.733,2.1,7.053
2023,2022-23,Cochise,cochisecollege,28.0,16.0,12.0,1.0,196.1,137.0,98.0,80.0,86.0,283.0,3.0,0.571,3.672,155.0,1.137,6.288,0.138,3.947,12.988,3.291,4.498
2023,2022-23,Coffeyville,coffeyvillecommunitycollege,21.0,11.0,9.0,1.0,143.9,170.0,142.0,117.0,95.0,164.0,12.0,0.55,7.318,78.0,1.842,10.632,0.751,5.942,10.257,1.726,8.881
2023,2022-23,Colby,colbycommunitycollege,18.0,7.0,12.0,5.0,112.7,164.0,169.0,139.0,103.0,110.0,21.0,0.368,11.1,51.0,2.369,13.097,1.677,8.225,8.784,1.068,13.496
2023,2022-23,Colorado Northwestern,coloradonorthwesterncommunitycollege,24.0,5.0,19.0,1.0,135.5,198.0,189.0,153.0,116.0,116.0,8.0,0.208,10.162,56.0,2.317,13.151,0.531,7.705,7.705,1.0,12.554
2023,2022-23,Columbia State,columbiastatecommunitycollege,10.0,9.0,6.0,0.0,138.3,149.0,141.0,109.0,120.0,163.0,22.0,0.6,7.093,80.0,1.945,9.696,1.432,7.809,10.607,1.358,9.176
2023,2022-23,Columbia-Greene,columbiagreenecommunitycollege,0.0,0.0,1.0,0.0,7.3,2.0,5.0,1.0,8.0,3.0,0.0,0.0,1.233,460.0,1.37,2.466,0.0,9.863,3.699,0.375,6.164
2023,2022-23,Community Christian (CA),communitychristiancollege,1.0,0.0,2.0,0.0,14.600000000000001,40.0,37.0,33.0,9.0,13.0,1.0,0.0,20.342,28.0,3.356,24.658,0.616,5.548,8.014,1.444,22.808
2023,2022-23,Connors State,connorsstatecollege,25.0,24.0,1.0,2.0,163.3,129.0,67.0,48.0,80.0,243.0,7.0,0.96,2.645,215.0,1.28,7.11,0.386,4.409,13.393,3.038,3.693
2023,2022-23,Copiah-Lincoln,copiahlincolncommunitycollege,24.0,7.0,17.0,3.0,159.4,209.0,167.0,131.0,93.0,167.0,16.0,0.292,7.396,77.0,1.895,11.801,0.903,5.251,9.429,1.796,9.429
2023,2022-23,Cowley,cowleycountycommunitycollege,17.0,8.0,9.0,0.0,126.6,113.0,88.0,66.0,73.0,152.0,6.0,0.471,4.692,121.0,1.469,8.033,0.427,5.19,10.806,2.082,6.256
2023,2022-23,Crowder,crowdercollege,25.0,16.0,9.0,5.0,161.2,168.0,147.0,127.0,102.0,237.0,24.0,0.64,7.091,80.0,1.675,9.38,1.34,5.695,13.232,2.324,8.207
2023,2022-23,Cuyahoga,cuyahogacommunitycollege,0.0,0.0,4.0,0.0,30.1,55.0,60.0,42.0,35.0,32.0,1.0,0.0,12.558,45.0,2.99,16.445,0.299,10.465,9.568,0.914,17.94
2023,2022-23,Dakota,dakotacollegeatbottineau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2023,2022-23,Dakota County Tech,dakotacountytechnicalcollege,3.0,1.0,2.0,0.0,22.3,31.0,14.0,17.0,18.0,23.0,1.0,0.333,6.861,83.0,2.197,12.511,0.404,7.265,9.283,1.278,5.65
