date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name,game_score_diff_x,game_win_loss_x,game_id_x,game_score_diff_y,game_win_loss_y,game_id_y
May 7,home,Northeast Texas,W,15-5,15.0,5.0,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Bossier Parish,bossierparishcommunitycollege,codynavarro699j,Cody Navarro,,,,,,
May 13,home,San Jacinto,L,9-1,9.0,1.0,8.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Bossier Parish,bossierparishcommunitycollege,codynavarro699j,Cody Navarro,,,,,,
May 14,home,Alvin,L,4-3,4.0,3.0,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Bossier Parish,bossierparishcommunitycollege,codynavarro699j,Cody Navarro,,,,,,
Feb 20,home,Miles,W,1-0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Western Nebraska,westernnebraskacommunitycollege,ozzypearcylh4b,Ozzy Pearcy,1.0,win,,1.0,win,
Feb 20,home,Miles,W,20-4,20.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Western Nebraska,westernnebraskacommunitycollege,ozzypearcylh4b,Ozzy Pearcy,16.0,win,,16.0,win,
Feb 21,home,Miles,L,9-6,9.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Western Nebraska,westernnebraskacommunitycollege,ozzypearcylh4b,Ozzy Pearcy,3.0,win,,3.0,win,
Feb 21,home,Miles,W,3-2,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Western Nebraska,westernnebraskacommunitycollege,ozzypearcylh4b,Ozzy Pearcy,1.0,win,,1.0,win,
Mar 4,home,Lamar,L,7-4,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Western Nebraska,westernnebraskacommunitycollege,ozzypearcylh4b,Ozzy Pearcy,3.0,win,,3.0,win,
Mar 4,home,Lamar,W,9-7,9.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Western Nebraska,westernnebraskacommunitycollege,ozzypearcylh4b,Ozzy Pearcy,2.0,win,,2.0,win,
Mar 20,home,Otero,W,9-2,9.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Western Nebraska,westernnebraskacommunitycollege,ozzypearcylh4b,Ozzy Pearcy,7.0,win,,7.0,win,
Mar 20,home,Otero,W,11-2,11.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Western Nebraska,westernnebraskacommunitycollege,ozzypearcylh4b,Ozzy Pearcy,9.0,win,,9.0,win,
Mar 25,home,McCook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Western Nebraska,westernnebraskacommunitycollege,ozzypearcylh4b,Ozzy Pearcy,9.0,win,,9.0,win,
Mar 26,home,McCook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Western Nebraska,westernnebraskacommunitycollege,ozzypearcylh4b,Ozzy Pearcy,9.0,win,,9.0,win,
Mar 26,home,McCook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Western Nebraska,westernnebraskacommunitycollege,ozzypearcylh4b,Ozzy Pearcy,9.0,win,,9.0,win,
Mar 26,home,McCook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Western Nebraska,westernnebraskacommunitycollege,ozzypearcylh4b,Ozzy Pearcy,9.0,win,,9.0,win,
Mar 26,home,McCook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Western Nebraska,westernnebraskacommunitycollege,ozzypearcylh4b,Ozzy Pearcy,9.0,win,,9.0,win,
Mar 28,home,McCook,L,8-5,8.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Western Nebraska,westernnebraskacommunitycollege,ozzypearcylh4b,Ozzy Pearcy,3.0,win,,3.0,win,
Mar 28,home,McCook,W,7-6,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Western Nebraska,westernnebraskacommunitycollege,ozzypearcylh4b,Ozzy Pearcy,1.0,win,,1.0,win,
Apr 7,home,Northeastern,W,2-0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Western Nebraska,westernnebraskacommunitycollege,ozzypearcylh4b,Ozzy Pearcy,2.0,win,,2.0,win,
Apr 7,home,Northeastern,W,5-4,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Western Nebraska,westernnebraskacommunitycollege,ozzypearcylh4b,Ozzy Pearcy,1.0,win,,1.0,win,
Apr 10,home,Colby,L,5-2,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Western Nebraska,westernnebraskacommunitycollege,ozzypearcylh4b,Ozzy Pearcy,3.0,win,,3.0,win,
Apr 10,home,Colby,L,15-9,15.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Western Nebraska,westernnebraskacommunitycollege,ozzypearcylh4b,Ozzy Pearcy,6.0,win,,6.0,win,
Apr 13,home,Trinidad State,L,12-5,12.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Western Nebraska,westernnebraskacommunitycollege,ozzypearcylh4b,Ozzy Pearcy,7.0,win,,7.0,win,
Apr 13,home,Trinidad State,W,5-4,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Western Nebraska,westernnebraskacommunitycollege,ozzypearcylh4b,Ozzy Pearcy,1.0,win,,1.0,win,
Apr 14,home,Trinidad State,L,16-10,16.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Western Nebraska,westernnebraskacommunitycollege,ozzypearcylh4b,Ozzy Pearcy,6.0,win,,6.0,win,
Apr 14,home,Trinidad State,L,7-2,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Western Nebraska,westernnebraskacommunitycollege,ozzypearcylh4b,Ozzy Pearcy,5.0,win,,5.0,win,
Apr 20,home,McCook,W,6-5,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Western Nebraska,westernnebraskacommunitycollege,ozzypearcylh4b,Ozzy Pearcy,1.0,win,,1.0,win,
Apr 20,home,McCook,L,3-1,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Western Nebraska,westernnebraskacommunitycollege,ozzypearcylh4b,Ozzy Pearcy,2.0,win,,2.0,win,
Apr 30,home,Miles,L,7-6,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Western Nebraska,westernnebraskacommunitycollege,ozzypearcylh4b,Ozzy Pearcy,1.0,win,,1.0,win,
Apr 30,home,Miles,W,9-1,9.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Western Nebraska,westernnebraskacommunitycollege,ozzypearcylh4b,Ozzy Pearcy,8.0,win,,8.0,win,
May 1,home,Miles,W,5-4,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Western Nebraska,westernnebraskacommunitycollege,ozzypearcylh4b,Ozzy Pearcy,1.0,win,,1.0,win,
May 1,home,Miles,L,5-4,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Western Nebraska,westernnebraskacommunitycollege,ozzypearcylh4b,Ozzy Pearcy,1.0,win,,1.0,win,
May 2,home,Miles,W,11-7,11.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Western Nebraska,westernnebraskacommunitycollege,ozzypearcylh4b,Ozzy Pearcy,4.0,win,,4.0,win,
May 2,home,Miles,L,3-2,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Western Nebraska,westernnebraskacommunitycollege,ozzypearcylh4b,Ozzy Pearcy,1.0,win,,1.0,win,
Jan 29,home,GateWay (AZ),W,6-4,6.0,4.0,2.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Jan 30,home,Arizona Western,L,9-5,9.0,5.0,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Jan 30,home,Yavapai,W,12-11,12.0,11.0,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Jan 31,home,San Jacinto,L,10-0,10.0,0.0,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Feb 4,home,Northeastern,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Feb 5,home,Northeastern,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Feb 5,home,Northeastern,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Feb 5,home,Northeastern,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Feb 5,home,Northeastern,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Feb 6,home,Northeastern,,,,,10.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Feb 10,home,Okanagan College,W,5-4,5.0,4.0,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Feb 11,home,Okanagan College,W,6-2,6.0,2.0,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Feb 12,home,Prairie Baseball Academy,W,10-6,10.0,6.0,4.0,win,20160212_1t2v,1.0,0.0,0.0,,,,0.0,,,,,,,,0.0,0.0,,1.0,,,1.0,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Feb 19,home,Prairie Baseball Acadamy,W,3-0,3.0,0.0,3.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Feb 19,home,Prairie Baseball Academy,W,7-6,7.0,6.0,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Feb 20,home,Prairie Baseball Academy,W,3-2,3.0,2.0,1.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Feb 20,home,Prairie Baseball Academy,W,7-6,7.0,6.0,1.0,win,20160220_3bzn,2.0,1.0,1.0,,,,0.0,,1.0,,,,,,1.0,0.0,,,,,2.0,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Feb 26,home,Utah State Club,W,12-0,12.0,0.0,12.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Feb 26,home,Utah State Club,W,12-8,12.0,8.0,4.0,win,,,,,,,,,,,,,,,,,,,,,,,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
Feb 27,home,Boise State University Club,W,16-4,16.0,4.0,12.0,win,20160227_s6sm,1.0,1.0,1.0,,,,0.0,1.0,,,,,,,1.0,0.0,,,,,2.0,2016,2015-16,div1,Southern Idaho,collegeofsouthernidaho,cutlerdunngozm,Cutler Dunn,,,,,,
