date,location,opponent,result,score,team_score,opp_score,game_score_diff_x,game_win_loss_x,game_id_x,AB,R,H,2B,3B,HR,RBI,BB,K,SB,CS,game_score_diff_y,game_win_loss_y,game_id_y,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,PA,season,njcaa_season,njcaa_division,team,team_id,player_id,player_name,game_score_diff,game_win_loss,game_id
Mar 29,home,Milwaukee Area Tech,,,,,3.0,win,,,,,,,,,,,,,3.0,win,,,,,,,,,,,,2020,2019-20,div1,Olive-Harvey,oliveharveycollege,devinpuckettcrsm,Devin Puckett,,,
Mar 29,home,Milwaukee Area Tech,,,,,3.0,win,,,,,,,,,,,,,3.0,win,,,,,,,,,,,,2020,2019-20,div1,Olive-Harvey,oliveharveycollege,devinpuckettcrsm,Devin Puckett,,,
Mar 29,home,Milwaukee Area Tech,,,,,3.0,win,,,,,,,,,,,,,3.0,win,,,,,,,,,,,,2020,2019-20,div1,Olive-Harvey,oliveharveycollege,devinpuckettcrsm,Devin Puckett,,,
Mar 29,home,Milwaukee Area Tech,,,,,3.0,win,,,,,,,,,,,,,3.0,win,,,,,,,,,,,,2020,2019-20,div1,Olive-Harvey,oliveharveycollege,devinpuckettcrsm,Devin Puckett,,,
Mar 31,home,Moraine Valley,,,,,3.0,win,,,,,,,,,,,,,3.0,win,,,,,,,,,,,,2020,2019-20,div1,Olive-Harvey,oliveharveycollege,devinpuckettcrsm,Devin Puckett,,,
Apr 15,home,Morton,,,,,3.0,win,,,,,,,,,,,,,3.0,win,,,,,,,,,,,,2020,2019-20,div1,Olive-Harvey,oliveharveycollege,devinpuckettcrsm,Devin Puckett,,,
Apr 15,home,Morton,,,,,3.0,win,,,,,,,,,,,,,3.0,win,,,,,,,,,,,,2020,2019-20,div1,Olive-Harvey,oliveharveycollege,devinpuckettcrsm,Devin Puckett,,,
Apr 15,home,Morton,,,,,3.0,win,,,,,,,,,,,,,3.0,win,,,,,,,,,,,,2020,2019-20,div1,Olive-Harvey,oliveharveycollege,devinpuckettcrsm,Devin Puckett,,,
Apr 15,home,Morton,,,,,3.0,win,,,,,,,,,,,,,3.0,win,,,,,,,,,,,,2020,2019-20,div1,Olive-Harvey,oliveharveycollege,devinpuckettcrsm,Devin Puckett,,,
Apr 16,home,Rock Valley,,,,,3.0,win,,,,,,,,,,,,,3.0,win,,,,,,,,,,,,2020,2019-20,div1,Olive-Harvey,oliveharveycollege,devinpuckettcrsm,Devin Puckett,,,
Apr 16,home,Rock Valley,,,,,3.0,win,,,,,,,,,,,,,3.0,win,,,,,,,,,,,,2020,2019-20,div1,Olive-Harvey,oliveharveycollege,devinpuckettcrsm,Devin Puckett,,,
Apr 16,home,Rock Valley,,,,,3.0,win,,,,,,,,,,,,,3.0,win,,,,,,,,,,,,2020,2019-20,div1,Olive-Harvey,oliveharveycollege,devinpuckettcrsm,Devin Puckett,,,
