season,njcaa_season,team,team_id,player_id,player_name,GS,W,L,SV,IP,H,R,ER,BB,K,HR,W-L%,ERA,ERA+,WHIP,H9,HR9,BB9,K9,K/BB,RA9
2024,2023-24,Abraham Baldwin,abrahambaldwinagriculturalcollege,jordanstephensn2p3,Jordan Stephens,4.0,1.0,3.0,0.0,18.5,19.0,16.0,14.0,8.13,12.0,24.0,0.25,6.811,83.0,1.466,9.243,11.676,3.955,5.838,1.476,7.784
2024,2023-24,Abraham Baldwin,abrahambaldwinagriculturalcollege,joshmontalban5j8v,Josh Montalban,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,,18.0,32.0,3.0,9.0,9.0,18.0,27.0,1.5,18.0
2024,2023-24,Abraham Baldwin,abrahambaldwinagriculturalcollege,jrfordhamjtb6,J.R. Fordham,2.0,0.0,1.0,0.0,7.800000000000001,14.0,13.0,12.0,8.96,7.0,12.0,0.0,13.846,41.0,2.944,16.154,13.846,10.338,8.077,0.781,15.0
2024,2023-24,Abraham Baldwin,abrahambaldwinagriculturalcollege,kentoncollier40va,Kenton Collier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Abraham Baldwin,abrahambaldwinagriculturalcollege,koleorshoski4c92,Kole Orshoski,0.0,0.0,0.0,0.0,1.1,5.0,3.0,3.0,7.0,2.0,1.0,,24.545,23.0,10.909,40.909,8.182,57.273,16.364,0.286,24.545
2024,2023-24,Abraham Baldwin,abrahambaldwinagriculturalcollege,landonkight634f,Landon Kight,0.0,0.0,0.0,0.0,0.2,4.0,5.0,5.0,9.0,2.0,1.0,,225.0,3.0,65.0,180.0,45.0,405.0,90.0,0.222,225.0
2024,2023-24,Abraham Baldwin,abrahambaldwinagriculturalcollege,lucasmoriciv3pc,Lucas Morici,2.0,2.0,1.0,0.0,13.2,14.0,8.0,8.0,6.54,8.0,15.0,0.667,5.455,104.0,1.556,9.545,10.227,4.459,5.455,1.223,5.455
2024,2023-24,Abraham Baldwin,abrahambaldwinagriculturalcollege,lukenorman6bme,Luke Norman,2.0,0.0,1.0,0.0,6.1,7.0,12.0,8.0,14.33,4.0,6.0,0.0,11.803,48.0,3.497,10.328,8.852,21.143,5.902,0.279,17.705
2024,2023-24,Abraham Baldwin,abrahambaldwinagriculturalcollege,matthewglassj8gp,Matthew Glass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Abraham Baldwin,abrahambaldwinagriculturalcollege,michaelmorrisonlp7t,Michael Morrison,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Abraham Baldwin,abrahambaldwinagriculturalcollege,quintenrawlsv484,Quinten Rawls,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Abraham Baldwin,abrahambaldwinagriculturalcollege,ryanvandinterp4wj,Ryan Van Dinter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Abraham Baldwin,abrahambaldwinagriculturalcollege,terrygarmonoc64,Terry Garmon,1.0,0.0,2.0,0.0,6.1,13.0,10.0,7.0,6.529999999999999,4.0,5.0,0.0,10.328,55.0,3.202,19.18,7.377,9.634,5.902,0.613,14.754
2024,2023-24,Abraham Baldwin,abrahambaldwinagriculturalcollege,trypplumpkinga5f,Trypp Lumpkin,1.0,0.0,0.0,0.0,11.1,6.0,5.0,5.0,5.17,13.0,12.0,,4.054,140.0,1.006,4.865,9.73,4.192,10.541,2.515,4.054
2024,2023-24,Abraham Baldwin,abrahambaldwinagriculturalcollege,tysonrobinson6hwh,Tyson Robinson,0.0,0.0,0.0,0.0,4.3,3.0,4.0,4.0,2.5,0.0,2.0,,8.372,68.0,1.279,6.279,4.186,5.233,0.0,0.0,8.372
2024,2023-24,Abraham Baldwin,abrahambaldwinagriculturalcollege,williamrichardspqbd,William Richards,0.0,0.0,1.0,1.0,7.5,6.0,9.0,9.0,10.61,11.0,8.0,0.0,10.8,53.0,2.215,7.2,9.6,12.732,13.2,1.037,10.8
2024,2023-24,Abraham Baldwin,abrahambaldwinagriculturalcollege,wyatttalikt7ds,Wyatt Talik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Allen County,allencountycommunitycollege,anthonypadron4asc,Anthony Padron,0.0,0.0,1.0,0.0,0.1,5.0,10.0,9.0,21.0,5.0,1.0,0.0,810.0,1.0,260.0,450.0,90.0,1890.0,450.0,0.238,900.0
2024,2023-24,Allen County,allencountycommunitycollege,anthonytalpau8is,Anthony Talpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Allen County,allencountycommunitycollege,armandonavarroebia,Armando Navarro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Allen County,allencountycommunitycollege,bjarnereinhardt3qrn,Bjarne Reinhardt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Allen County,allencountycommunitycollege,brandonmckarninx9a2,Brandon McKarnin,0.0,0.0,0.0,0.0,4.3,10.0,7.0,7.0,6.67,2.0,2.0,,14.651,39.0,3.877,20.93,4.186,13.96,4.186,0.3,14.651
2024,2023-24,Allen County,allencountycommunitycollege,braydenthompsonkki0,Brayden Thompson,0.0,0.0,1.0,0.0,7.0,2.0,5.0,3.0,4.5,7.0,16.0,0.0,3.857,147.0,0.929,2.571,20.571,5.786,9.0,1.556,6.429
2024,2023-24,Allen County,allencountycommunitycollege,brodiegleasonos2k,Brodie Gleason,0.0,1.0,0.0,0.0,4.2,2.0,2.0,1.0,3.4,3.0,5.0,1.0,2.143,265.0,1.286,4.286,10.714,7.286,6.429,0.882,4.286
2024,2023-24,Allen County,allencountycommunitycollege,cadeschupp1bsn,Cade Schupp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Allen County,allencountycommunitycollege,calebhorseyprmf,Caleb Horsey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Allen County,allencountycommunitycollege,caleclarkx76j,Cale Clark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Allen County,allencountycommunitycollege,carsonshepherdiq4a,Carson Shepherd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Allen County,allencountycommunitycollege,collingodfrey48cc,Collin Godfrey,0.0,0.0,0.0,0.0,0.2,1.0,2.0,2.0,6.0,3.0,0.0,,90.0,6.0,35.0,45.0,0.0,270.0,135.0,0.5,90.0
2024,2023-24,Allen County,allencountycommunitycollege,coltonayresvilt,Colton Ayres,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Allen County,allencountycommunitycollege,eliasmullerhxkv,Elias Muller,0.0,0.0,0.0,0.0,4.2,5.0,3.0,2.0,5.5,1.0,4.0,,4.286,132.0,2.5,10.714,8.571,11.786,2.143,0.182,6.429
2024,2023-24,Allen County,allencountycommunitycollege,ethanpayne9027,Ethan Payne,0.0,0.0,0.0,0.0,4.4,6.0,5.0,2.0,8.2,5.0,5.0,,4.091,139.0,3.227,12.273,10.227,16.773,10.227,0.61,10.227
2024,2023-24,Allen County,allencountycommunitycollege,gabeglenn3fe3,Gabe Glenn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Allen County,allencountycommunitycollege,garrettruschwq0y,Garrett Rusch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Allen County,allencountycommunitycollege,jackblandmoxe,Jack Bland,0.0,2.0,0.0,0.0,12.2,12.0,5.0,4.0,3.5100000000000002,2.0,16.0,1.0,2.951,192.0,1.271,8.852,11.803,2.589,1.475,0.57,3.689
2024,2023-24,Allen County,allencountycommunitycollege,jackharriscl9v,Jack Harris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Allen County,allencountycommunitycollege,jakegallowaymuzd,Jake Galloway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Allen County,allencountycommunitycollege,kyleklewenopdc9,Kyle Kleweno,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Allen County,allencountycommunitycollege,larsonlottcz51,Larson Lott,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Allen County,allencountycommunitycollege,loganmartin997m,Logan Martin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Allen County,allencountycommunitycollege,manueltoro5s1f,Manuel Toro,0.0,0.0,0.0,0.0,4.3,10.0,7.0,7.0,6.67,2.0,2.0,,14.651,39.0,3.877,20.93,4.186,13.96,4.186,0.3,14.651
2024,2023-24,Allen County,allencountycommunitycollege,meesrobbersegxdz,Mees Robberse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Allen County,allencountycommunitycollege,nicholaswalterzkab,Nicholas Walter,0.0,0.0,0.0,0.0,1.1,3.0,3.0,3.0,10.0,2.0,1.0,,24.545,23.0,11.818,24.545,8.182,81.818,16.364,0.2,24.545
2024,2023-24,Allen County,allencountycommunitycollege,owenmyers8trd,Owen Myers,0.0,1.0,0.0,0.0,2.3000000000000003,5.0,3.0,1.0,22.0,4.0,5.0,1.0,3.913,145.0,11.739,19.565,19.565,86.087,15.652,0.182,11.739
2024,2023-24,Allen County,allencountycommunitycollege,parkermartinz923,Parker Martin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Allen County,allencountycommunitycollege,paytonpudenz8ouk,Payton Pudenz,0.0,2.0,1.0,0.0,12.2,14.0,15.0,12.0,5.05,6.0,17.0,0.667,8.852,64.0,1.561,10.328,12.541,3.725,4.426,1.188,11.066
2024,2023-24,Allen County,allencountycommunitycollege,saulbolivarbizy,Saul Bolivar,0.0,2.0,1.0,0.0,17.2,15.0,7.0,7.0,3.63,3.0,22.0,0.667,3.663,155.0,1.083,7.849,11.512,1.899,1.57,0.826,3.663
2024,2023-24,Allen County,allencountycommunitycollege,sethbroadwell07kf,Seth Broadwell,0.0,0.0,1.0,0.0,6.2,8.0,8.0,8.0,7.2,8.0,1.0,0.0,11.613,49.0,2.452,11.613,1.452,10.452,11.613,1.111,11.613
2024,2023-24,Allen County,allencountycommunitycollege,tylermartinqdbo,Tyler Martin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Allen County,allencountycommunitycollege,zacharyjohnstonvqmc,Zachary Johnston,0.0,1.0,0.0,1.0,2.1,2.0,0.0,0.0,4.5,2.0,4.0,1.0,0.0,,3.095,8.571,17.143,19.286,8.571,0.444,0.0
2024,2023-24,Allen County,allencountycommunitycollege,zachhenry1grc,Zach Henry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Alvin,alvincommunitycollege,adamwadenhy8,Adam Wade,4.0,2.0,2.0,0.0,17.2,13.0,14.0,9.0,7.29,15.0,24.0,0.5,4.709,121.0,1.18,6.802,12.558,3.815,7.849,2.058,7.326
2024,2023-24,Alvin,alvincommunitycollege,alexguajardo5yc9,Alex Guajardo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Alvin,alvincommunitycollege,angelacostasqth,Angel Acosta,1.0,0.0,0.0,1.0,6.2,4.0,2.0,2.0,6.25,8.0,12.0,,2.903,196.0,1.653,5.806,17.419,9.073,11.613,1.28,2.903
2024,2023-24,Alvin,alvincommunitycollege,cadebakersd76,Cade Baker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Alvin,alvincommunitycollege,cadenmillerz8re,Caden Miller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Alvin,alvincommunitycollege,chrischavez3d46,Chris Chavez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Alvin,alvincommunitycollege,connorleex4wf,Connor Lee,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,4.0,1.0,1.0,,27.0,21.0,7.0,27.0,9.0,36.0,9.0,0.25,27.0
2024,2023-24,Alvin,alvincommunitycollege,dacodaagoto2cyu,Dacoda Agoto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Alvin,alvincommunitycollege,damianamanciowcdx,Damian Amancio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Alvin,alvincommunitycollege,damiancarreoni8tm,Damian Carreon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Alvin,alvincommunitycollege,dylandudneybijo,Dylan Dudney,1.0,1.0,0.0,1.0,12.0,8.0,5.0,2.0,6.08,6.0,14.0,1.0,1.5,378.0,1.173,6.0,10.5,4.56,4.5,0.987,3.75
2024,2023-24,Alvin,alvincommunitycollege,gabrielrodriguezba3i,Gabriel Rodriguez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Alvin,alvincommunitycollege,haydentronson0fz9,Hayden Tronson,0.0,0.0,0.0,0.0,8.3,12.0,13.0,12.0,8.41,4.0,9.0,,13.012,44.0,2.459,13.012,9.759,9.119,4.337,0.476,14.096
2024,2023-24,Alvin,alvincommunitycollege,jacobwingard53j9,Jacob Wingard,3.0,2.0,0.0,0.0,15.0,14.0,8.0,8.0,5.4,7.0,18.0,1.0,4.8,118.0,1.293,8.4,10.8,3.24,4.2,1.296,4.8
2024,2023-24,Alvin,alvincommunitycollege,jjolivarezgkft,JJ Olivarez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Alvin,alvincommunitycollege,joshmilton1s0c,Josh Milton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Alvin,alvincommunitycollege,justinlopez008i,Justin Lopez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Alvin,alvincommunitycollege,kikecienfuegosu5zd,Kike Cienfuegos,0.0,0.0,0.0,0.0,4.2,4.0,2.0,1.0,4.36,4.0,5.0,,2.143,265.0,1.99,8.571,10.714,9.343,8.571,0.917,4.286
2024,2023-24,Alvin,alvincommunitycollege,kodygibbshezb,Kody Gibbs,3.0,1.0,1.0,0.0,14.0,12.0,13.0,4.0,4.58,8.0,21.0,0.5,2.571,221.0,1.184,7.714,13.5,2.944,5.143,1.747,8.357
2024,2023-24,Alvin,alvincommunitycollege,kolbiesowelldylv,Kolbie Sowell,0.0,0.0,1.0,0.0,1.2,2.0,2.0,2.0,1.8,1.0,1.0,0.0,15.0,38.0,3.167,15.0,7.5,13.5,7.5,0.556,15.0
2024,2023-24,Alvin,alvincommunitycollege,lukecampbellsty3,Luke Campbell,0.0,0.0,0.0,0.0,3.0,2.0,4.0,4.0,5.5,4.0,2.0,,12.0,47.0,2.5,6.0,6.0,16.5,12.0,0.727,12.0
2024,2023-24,Alvin,alvincommunitycollege,reaganjameswiu1,Reagan James,1.0,0.0,0.0,0.0,6.0,6.0,5.0,4.0,3.0,3.0,4.0,,6.0,95.0,1.5,9.0,6.0,4.5,4.5,1.0,7.5
2024,2023-24,Alvin,alvincommunitycollege,reaganweiblinger58tp,Reagan Weiblinger,0.0,0.0,0.0,0.0,2.1,3.0,5.0,1.0,4.0,2.0,1.0,,4.286,132.0,3.333,12.857,4.286,17.143,8.571,0.5,21.429
2024,2023-24,Alvin,alvincommunitycollege,rynekaiseryi7c,Ryne Kaiser,1.0,0.0,0.0,0.0,6.1,9.0,9.0,8.0,6.57,5.0,7.0,,11.803,48.0,2.552,13.279,10.328,9.693,7.377,0.761,13.279
2024,2023-24,Alvin,alvincommunitycollege,sethdaviso6wu,Seth Davis,0.0,1.0,1.0,0.0,2.4000000000000004,8.0,5.0,5.0,5.25,1.0,3.0,0.5,18.75,30.0,5.521,30.0,11.25,19.687,3.75,0.19,18.75
2024,2023-24,Alvin,alvincommunitycollege,sevemartinezfu5s,Seve Martinez,1.0,3.0,0.0,0.0,11.3,8.0,5.0,3.0,3.39,4.0,12.0,1.0,2.389,238.0,1.008,6.372,9.558,2.7,3.186,1.18,3.982
2024,2023-24,Alvin,alvincommunitycollege,tannermarekntt3,Tanner Marek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Alvin,alvincommunitycollege,tristanzarellag9k7,Tristan Zarella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Amarillo College,amarillocollege,aidanyoungd1w9,Aidan Young,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Amarillo College,amarillocollege,bretdeeganpbah,Bret Deegan,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,,0.0,,3.0,9.0,9.0,18.0,9.0,0.5,0.0
2024,2023-24,Amarillo College,amarillocollege,brycegilchristqa8t,Bryce Gilchrist,0.0,0.0,0.0,0.0,6.0,5.0,4.0,2.0,5.0,5.0,4.0,,3.0,189.0,1.667,7.5,6.0,7.5,7.5,1.0,6.0
2024,2023-24,Amarillo College,amarillocollege,cameronsalehniz3,Cameron Saleh,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,,2.0,0.0,18.0,18.0,18.0,1.0,0.0
2024,2023-24,Amarillo College,amarillocollege,carterbeardpj1n,Carter Beard,0.0,0.0,0.0,0.0,6.2,6.0,3.0,2.0,5.5,6.0,5.0,,2.903,196.0,1.855,8.71,7.258,7.984,8.71,1.091,4.355
2024,2023-24,Amarillo College,amarillocollege,christopherbenavidezuo6t,Christopher Benavidez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Amarillo College,amarillocollege,coltonklemke1bqf,Colton Klemke,0.0,0.0,0.0,1.0,2.3,1.0,0.0,0.0,1.35,1.0,2.0,,0.0,,1.022,3.913,7.826,5.283,3.913,0.741,0.0
2024,2023-24,Amarillo College,amarillocollege,daviddehoyosq0tw,David De Hoyos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Amarillo College,amarillocollege,duncanbowlesq5eu,Duncan Bowles,3.0,2.0,0.0,0.0,14.0,12.0,4.0,2.0,3.0,2.0,18.0,1.0,1.286,441.0,1.071,7.714,11.571,1.929,1.286,0.667,2.571
2024,2023-24,Amarillo College,amarillocollege,dylansteelep49i,Dylan Steele,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Amarillo College,amarillocollege,evanpetersonl2d4,Evan Peterson,0.0,0.0,0.0,0.0,5.1,9.0,7.0,4.0,4.24,2.0,6.0,,7.059,80.0,2.596,15.882,10.588,7.482,3.529,0.472,12.353
2024,2023-24,Amarillo College,amarillocollege,gabrielwatsonb8dr,Gabriel Watson,3.0,1.0,2.0,0.0,11.1,6.0,9.0,2.0,4.35,10.0,22.0,0.333,1.622,350.0,0.932,4.865,17.838,3.527,8.108,2.299,7.297
2024,2023-24,Amarillo College,amarillocollege,gerardoprado490z,Gerardo Prado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Amarillo College,amarillocollege,grantwatkinsovnj,Grant Watkins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Amarillo College,amarillocollege,haydendriver7kln,Hayden Driver,0.0,0.0,0.0,0.0,1.0,2.0,3.0,2.0,4.0,2.0,0.0,,18.0,32.0,6.0,18.0,0.0,36.0,18.0,0.5,27.0
2024,2023-24,Amarillo College,amarillocollege,isaacgarzaw2q8,Isaac Garza,0.0,0.0,0.0,0.0,6.2,8.0,10.0,4.0,7.6,5.0,7.0,,5.806,98.0,2.516,11.613,10.161,11.032,7.258,0.658,14.516
2024,2023-24,Amarillo College,amarillocollege,janavilatfs7,Jan Avila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Amarillo College,amarillocollege,jaxonsmith5cpr,Jaxon Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Amarillo College,amarillocollege,johnpaulhinojosa4je0,John Paul Hinojosa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Amarillo College,amarillocollege,lawsonpeel02o6,Lawson Peel,3.0,2.0,1.0,0.0,7.1,7.0,8.0,5.0,6.42,6.0,5.0,0.667,6.338,90.0,1.89,8.873,6.338,8.138,7.606,0.935,10.141
2024,2023-24,Amarillo College,amarillocollege,luisgonzalezd7n0,Luis Gonzalez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Amarillo College,amarillocollege,nathanbarryuxeu,Nathan Barry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Amarillo College,amarillocollege,noahturner4jq6,Noah Turner,0.0,0.0,0.0,0.0,10.2,10.0,5.0,5.0,3.5300000000000002,3.0,12.0,,4.412,129.0,1.326,8.824,10.588,3.115,2.647,0.85,4.412
2024,2023-24,Amarillo College,amarillocollege,paytonbushu86c,Payton Bush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Amarillo College,amarillocollege,remingtonspoerlqi3b,Remington Spoerl,0.0,0.0,0.0,0.0,0.2,4.0,4.0,4.0,10.5,3.0,0.0,,180.0,3.0,72.5,180.0,0.0,472.5,135.0,0.286,180.0
2024,2023-24,Amarillo College,amarillocollege,ryanbranch0e6t,Ryan Branch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Amarillo College,amarillocollege,rynewingate4xqv,Ryne Wingate,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,,0.0,,3.0,9.0,9.0,18.0,9.0,0.5,0.0
2024,2023-24,Amarillo College,amarillocollege,sydneyward1svz,Sydney Ward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Amarillo College,amarillocollege,yamuelcolonvauz,Yamuel Colon,0.0,0.0,0.0,0.0,6.2,8.0,10.0,4.0,7.6,5.0,7.0,,5.806,98.0,2.516,11.613,10.161,11.032,7.258,0.658,14.516
2024,2023-24,Amarillo College,amarillocollege,zyonhamiltonypuc,Zyon Hamilton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
2024,2023-24,Andrew,andrewcollege,alnsah52zl,Al Nsah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
